PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 H0_RAW_spectral_flatness,H0 H0_FILTERED_spectral_centroid_hz,H0 H0_FILTERED_time_to_secondary_peak_ms,H0 H0_RAW_rise_time_ms,H0 H0_RAW_spectral_centroid_hz,H0 H0_FILTERED_rise_time_ms,H0 H0_FILTERED_fwhm_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H1 RAW_spectral_centroid_hz,H1 FILTERED_rise_time_ms,H1 FILTERED_fwhm_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H2 RAW_spectral_centroid_hz,H2 FILTERED_rise_time_ms,H2 FILTERED_fwhm_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms,H3 RAW_spectral_centroid_hz,H3 FILTERED_rise_time_ms,H3 FILTERED_fwhm_ms
H0_Closest_0FT_epoch_22,H0,0FT,True,0,True,0.88400216175,True,VALID,True,0.93,0.29429752,32027.98953466495,17.912319999999998,0.14336000000000002,73317.39420667473,9.47328,3.15264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_23,H0,0FT,False,0,True,0.04906712175,False,TOO_EARLY,True,0.95,0.28719527,32012.02880405185,16.16128,0.15488000000000002,71420.861991179,6.639360000000001,1.88672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_24,H0,0FT,True,0,True,1.28287960175,True,VALID,True,0.94,0.27457905,32068.59498419214,16.848640000000003,4.42624,70784.40411633518,4.3699200000000005,2.8940799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_25,H0,0FT,True,0,True,0.46563800175000003,True,VALID,True,0.91,0.31084472,31972.163079963146,3.50848,0.14976,74300.97810132035,0.48896,0.8448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_26,H0,0FT,True,0,True,1.6436207217499998,True,VALID,True,1.0,0.23710565,32028.17163310557,7.76576,1.77024,64210.874856082126,1.79072,2.72128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_27,H0,0FT,True,0,True,0.83285976175,True,VALID,True,0.99,0.27188903,32008.091773170894,17.62816,0.6976,69845.65644200011,0.57216,0.63744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_28,H0,0FT,True,0,True,1.9131541617499999,True,VALID,True,0.95,0.27900112,31895.87386615365,9.85472,0.23807999999999999,70667.15233157536,0.43392000000000003,0.58496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_29,H0,0FT,True,0,True,1.05645528175,True,VALID,True,1.0,0.23269781,32015.158318572983,6.74944,0.7872,63602.137607168755,0.9203199999999999,3.8617600000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_3,H0,0FT,True,0,True,1.26848344175,True,VALID,True,0.85,0.28563553,31939.525013457795,18.65344,0.15872,72239.03544359686,5.13152,1.83296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_30,H0,0FT,False,0,True,0.056791921749999995,False,TOO_EARLY,True,0.97,0.25580668,32192.312947175018,15.649280000000001,4.33792,68327.90040253194,0.36224,2.34112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
