PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 PING_WIDTH,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 PING_WIDTH,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 PING_WIDTH,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 PING_WIDTH,H0_FILTERED_crest_factor,H0_FILTERED_dynamic_range,H0_FILTERED_early_late_ratio,H0_FILTERED_early_window_energy,H0_FILTERED_energy_concentration_pct,H0_FILTERED_envelope_compactness,H0_FILTERED_envelope_kurtosis,H0_FILTERED_envelope_skewness,H0_FILTERED_fall_time_ms,H0_FILTERED_fwhm_ms,H0_FILTERED_late_window_energy,H0_FILTERED_noise_std,H0_FILTERED_peak_amplitude,H0_FILTERED_peak_floor_ratio,H0_FILTERED_peak_frequency_hz,H0_FILTERED_peak_snr_db,H0_FILTERED_pulse_width_ms,H0_FILTERED_rise_time_ms,H0_FILTERED_secondary_peak_amplitude_ratio,H0_FILTERED_secondary_peak_count,H0_FILTERED_snr_db,H0_FILTERED_spectral_bandwidth_hz,H0_FILTERED_spectral_centroid_hz,H0_FILTERED_spectral_flatness,H0_FILTERED_time_to_secondary_peak_ms,H0_FILTERED_total_energy,H0_RAW_crest_factor,H0_RAW_dynamic_range,H0_RAW_early_late_ratio,H0_RAW_early_window_energy,H0_RAW_energy_concentration_pct,H0_RAW_envelope_compactness,H0_RAW_envelope_kurtosis,H0_RAW_envelope_skewness,H0_RAW_fall_time_ms,H0_RAW_fwhm_ms,H0_RAW_late_window_energy,H0_RAW_noise_std,H0_RAW_peak_amplitude,H0_RAW_peak_floor_ratio,H0_RAW_peak_frequency_hz,H0_RAW_peak_snr_db,H0_RAW_pulse_width_ms,H0_RAW_rise_time_ms,H0_RAW_secondary_peak_amplitude_ratio,H0_RAW_secondary_peak_count,H0_RAW_snr_db,H0_RAW_spectral_bandwidth_hz,H0_RAW_spectral_centroid_hz,H0_RAW_spectral_flatness,H0_RAW_time_to_secondary_peak_ms,H0_RAW_total_energy,H1_FILTERED_crest_factor,H1_FILTERED_dynamic_range,H1_FILTERED_early_late_ratio,H1_FILTERED_early_window_energy,H1_FILTERED_energy_concentration_pct,H1_FILTERED_envelope_compactness,H1_FILTERED_envelope_kurtosis,H1_FILTERED_envelope_skewness,H1_FILTERED_fall_time_ms,H1_FILTERED_fwhm_ms,H1_FILTERED_late_window_energy,H1_FILTERED_noise_std,H1_FILTERED_peak_amplitude,H1_FILTERED_peak_floor_ratio,H1_FILTERED_peak_frequency_hz,H1_FILTERED_peak_snr_db,H1_FILTERED_pulse_width_ms,H1_FILTERED_rise_time_ms,H1_FILTERED_secondary_peak_amplitude_ratio,H1_FILTERED_secondary_peak_count,H1_FILTERED_snr_db,H1_FILTERED_spectral_bandwidth_hz,H1_FILTERED_spectral_centroid_hz,H1_FILTERED_spectral_flatness,H1_FILTERED_time_to_secondary_peak_ms,H1_FILTERED_total_energy,H1_RAW_crest_factor,H1_RAW_dynamic_range,H1_RAW_early_late_ratio,H1_RAW_early_window_energy,H1_RAW_energy_concentration_pct,H1_RAW_envelope_compactness,H1_RAW_envelope_kurtosis,H1_RAW_envelope_skewness,H1_RAW_fall_time_ms,H1_RAW_fwhm_ms,H1_RAW_late_window_energy,H1_RAW_noise_std,H1_RAW_peak_amplitude,H1_RAW_peak_floor_ratio,H1_RAW_peak_frequency_hz,H1_RAW_peak_snr_db,H1_RAW_pulse_width_ms,H1_RAW_rise_time_ms,H1_RAW_secondary_peak_amplitude_ratio,H1_RAW_secondary_peak_count,H1_RAW_snr_db,H1_RAW_spectral_bandwidth_hz,H1_RAW_spectral_centroid_hz,H1_RAW_spectral_flatness,H1_RAW_time_to_secondary_peak_ms,H1_RAW_total_energy,H2_FILTERED_crest_factor,H2_FILTERED_dynamic_range,H2_FILTERED_early_late_ratio,H2_FILTERED_early_window_energy,H2_FILTERED_energy_concentration_pct,H2_FILTERED_envelope_compactness,H2_FILTERED_envelope_kurtosis,H2_FILTERED_envelope_skewness,H2_FILTERED_fall_time_ms,H2_FILTERED_fwhm_ms,H2_FILTERED_late_window_energy,H2_FILTERED_noise_std,H2_FILTERED_peak_amplitude,H2_FILTERED_peak_floor_ratio,H2_FILTERED_peak_frequency_hz,H2_FILTERED_peak_snr_db,H2_FILTERED_pulse_width_ms,H2_FILTERED_rise_time_ms,H2_FILTERED_secondary_peak_amplitude_ratio,H2_FILTERED_secondary_peak_count,H2_FILTERED_snr_db,H2_FILTERED_spectral_bandwidth_hz,H2_FILTERED_spectral_centroid_hz,H2_FILTERED_spectral_flatness,H2_FILTERED_time_to_secondary_peak_ms,H2_FILTERED_total_energy,H2_RAW_crest_factor,H2_RAW_dynamic_range,H2_RAW_early_late_ratio,H2_RAW_early_window_energy,H2_RAW_energy_concentration_pct,H2_RAW_envelope_compactness,H2_RAW_envelope_kurtosis,H2_RAW_envelope_skewness,H2_RAW_fall_time_ms,H2_RAW_fwhm_ms,H2_RAW_late_window_energy,H2_RAW_noise_std,H2_RAW_peak_amplitude,H2_RAW_peak_floor_ratio,H2_RAW_peak_frequency_hz,H2_RAW_peak_snr_db,H2_RAW_pulse_width_ms,H2_RAW_rise_time_ms,H2_RAW_secondary_peak_amplitude_ratio,H2_RAW_secondary_peak_count,H2_RAW_snr_db,H2_RAW_spectral_bandwidth_hz,H2_RAW_spectral_centroid_hz,H2_RAW_spectral_flatness,H2_RAW_time_to_secondary_peak_ms,H2_RAW_total_energy,H3_FILTERED_crest_factor,H3_FILTERED_dynamic_range,H3_FILTERED_early_late_ratio,H3_FILTERED_early_window_energy,H3_FILTERED_energy_concentration_pct,H3_FILTERED_envelope_compactness,H3_FILTERED_envelope_kurtosis,H3_FILTERED_envelope_skewness,H3_FILTERED_fall_time_ms,H3_FILTERED_fwhm_ms,H3_FILTERED_late_window_energy,H3_FILTERED_noise_std,H3_FILTERED_peak_amplitude,H3_FILTERED_peak_floor_ratio,H3_FILTERED_peak_frequency_hz,H3_FILTERED_peak_snr_db,H3_FILTERED_pulse_width_ms,H3_FILTERED_rise_time_ms,H3_FILTERED_secondary_peak_amplitude_ratio,H3_FILTERED_secondary_peak_count,H3_FILTERED_snr_db,H3_FILTERED_spectral_bandwidth_hz,H3_FILTERED_spectral_centroid_hz,H3_FILTERED_spectral_flatness,H3_FILTERED_time_to_secondary_peak_ms,H3_FILTERED_total_energy,H3_RAW_crest_factor,H3_RAW_dynamic_range,H3_RAW_early_late_ratio,H3_RAW_early_window_energy,H3_RAW_energy_concentration_pct,H3_RAW_envelope_compactness,H3_RAW_envelope_kurtosis,H3_RAW_envelope_skewness,H3_RAW_fall_time_ms,H3_RAW_fwhm_ms,H3_RAW_late_window_energy,H3_RAW_noise_std,H3_RAW_peak_amplitude,H3_RAW_peak_floor_ratio,H3_RAW_peak_frequency_hz,H3_RAW_peak_snr_db,H3_RAW_pulse_width_ms,H3_RAW_rise_time_ms,H3_RAW_secondary_peak_amplitude_ratio,H3_RAW_secondary_peak_count,H3_RAW_snr_db,H3_RAW_spectral_bandwidth_hz,H3_RAW_spectral_centroid_hz,H3_RAW_spectral_flatness,H3_RAW_time_to_secondary_peak_ms,H3_RAW_total_energy
H0_Closest_0FT_epoch_0,H0,0FT,False,0,True,1.97142744175,False,TOO_LATE,True,0.01164288,,,,,,,,,,,,,,,,33.88067618681711,2031.1243385725325,2.661234220873872,4812.678460455499,67.09923449966706,0.9809923514071329,271.00382178866056,15.749152048904756,4.0128,3.87968,1808.4385142450517,0.024147052159839488,1.5985306860890205,8113768.085370617,31934.794341728415,36.41556550153963,4.5312,0.5184,0.5956750583328185,13,28.90989704244198,176.51838398234395,31952.558027586376,0.00021225616554213425,8.373760000000008,7172.478935626772,41.79269,283.87354,2.4343102,5093.5664,66.630806,0.8607628287449439,285.30243,16.008923,4.13568,0.95872,2092.4065,0.017429776,2.0356734,1635.4285,31934.794341728415,41.308167,4.3136,0.17792,0.48641463637733945,1866,32.201557,22651.091201734052,69056.06118271744,0.2698756,8.632320000000027,7644.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_1,H0,0FT,True,0,True,1.0336559217499999,True,VALID,True,0.01169536,,,,,,,,,,,,,,,,30.386106464843472,2240.3671669207915,86.64891020640758,9159.762557626314,87.65389111687821,0.9900226708043864,251.359197758725,15.345325247310269,10.59456,3.26144,105.71122632469412,0.03879848039572697,1.7304769962596895,9229823.520917198,31931.8846980364,32.9427101532627,11.8272,1.23264,0.10331047444078445,37,23.417137036456772,190.09672121175026,32014.452866675838,0.00016133721659976992,29.509119999999946,10449.921208189771,32.21413,248.96532,2.1748934,7259.6895,65.47785,0.92797792355224,254.3854,15.433405,5.39776,0.21760000000000002,3337.952,0.017992066,1.8896985,1738.4873,31931.8846980364,40.334206,5.56544,0.16768,0.897547429525976,722,32.35142,22562.347069127543,63909.48161845326,0.22947253,9.76511999999996,11087.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_10,H0,0FT,True,0,True,1.00379608175,True,VALID,True,0.01303424,,,,,,,,,,,,,,,,33.37374652322725,1472.0559876367101,49.95113769709686,6350.359812989165,93.01865590943298,0.9877720735943191,283.1571615881773,15.981596024902018,9.96992,3.8272,127.13143495334742,0.02106202283365359,1.5362198319149798,67804151.82312244,31905.69790480825,37.20884503500643,10.45504,0.48512,0.12159465086905523,29,27.665206353499343,329.7596184285503,31976.442922288534,1.4153107249883733e-05,29.82271999999986,6826.974385839395,37.680744,235.04051,14.4950905,2140.272,29.04419,0.9129894800868152,290.9591,16.159786,0.94848,0.6617599999999999,147.65495,0.07869448,1.8020159,2029.6289,37880.65122636438,27.150974,5.1648,4.21632,0.20170829307629692,2040,14.569492,0.0,67455.31614358268,0.25633472,7.7644799999998515,7369.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_11,H0,0FT,True,0,True,0.15111128175,True,VALID,True,0.01168384,,,,,,,,,,,,,,,,30.026137014179966,9.49624764976539,100.56996561651869,5679.56786419442,57.47931323879659,0.983259218546749,243.97009153724238,15.237968354179909,1.8009600000000001,1.07008,56.47379741424004,0.13011581121265245,1.648865018132509,13929700.857541574,31874.987029506807,22.00813648261155,6.2016,4.40064,0.08017402461092334,18,13.636730706056134,61.037615040644596,32040.577642966044,9.483196142285166e-05,12.104959999999998,9881.0642371434,40.524975,12.9171715,77.35336,6121.4893,57.911266,0.8758239735858199,264.0655,15.661924,1.5808,0.49151999999999996,79.13669,0.13123065,2.3017259,1777.0217,31874.987029506807,24.77849,5.7651200000000005,4.1843200000000005,0.10688090433345784,2348,14.194531,6031.7561925712325,64022.75849629354,0.23225124,9.195520000000013,10570.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_12,H0,0FT,True,0,True,1.26870104175,True,VALID,True,0.01237248,,,,,,,,,,,,,,,,30.990694012166035,2494.7779660940696,27.174789643092403,8050.334610499296,68.7301145169302,0.9896566938337986,267.0559478949546,15.824281859801271,4.256,3.36896,296.2427572109249,0.06506876593940512,1.8528852117168957,8905745.560108058,31965.11288296526,29.083669487435735,6.173439999999999,1.91744,0.3266203077215784,13,21.18989417643548,65.32932234818873,32064.95145330694,0.0002470853052310504,9.689599999999965,11712.965513124815,35.742622,332.59607,2.4417093,8457.38,68.46386,0.9336665307089221,270.5473,15.889607,4.53632,0.23296,3463.713,0.018317608,2.1946108,2295.6008,31965.11288296526,41.485397,4.69888,0.16255999999999998,0.6675673135890641,1197,33.590855,65.32932234818873,64124.152887987155,0.23735517,9.120000000000017,12353.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_13,H0,0FT,True,0,True,0.33941848175,True,VALID,True,0.01407744,,,,,,,,,,,,,,,,35.40959135327084,2208.860134890571,48.943599170685275,5523.452833842058,62.68055208582369,0.9820064441749269,281.6823820365459,15.995403855893112,5.92896,0.9356800000000001,112.85342572733046,0.07646751709919317,1.8362999148652996,3887935.12763335,32110.554075054293,27.590762929695384,6.39872,0.46976,0.10790900478674038,17,17.993359961627647,190.26569063451097,31990.132384313834,0.0003962235700807369,10.662400000000016,8812.067938200596,41.11676,308.9303,1.7062372,3849.691,40.853546,0.8898072482555486,304.85986,16.489609,2.10944,0.84608,2256.246,0.07487323,2.20496,1686.7777,32110.554075054293,29.292812,2.35392,0.24448,0.5294879919742853,1211,20.952805,190.26569063451097,64787.959563912475,0.24148992,4.472319999999974,9423.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_14,H0,0FT,True,0,True,1.5445013617499999,True,VALID,True,0.010272,,,,,,,,,,,,,,,,33.372403799898734,2645.0753479865807,22.934189543368433,5592.826098022829,40.35075576673911,0.9894204578468478,281.09561693422216,16.1830142718974,0.65536,1.76512,243.86412641460603,0.1010338344714719,2.188827710371473,7489255.365295605,32017.71918695089,26.665516620133083,4.44416,3.7888,0.14305730070758382,10,17.208891883564085,192.52142428843217,31997.254984306805,0.00017457920304141217,7.331839999999978,13860.523778919951,33.06275,290.53207,7.237971,6679.21,46.276287,0.9178647350979072,282.11804,16.206469,0.90368,1.7523199999999999,922.80145,0.09217763,2.2128735,1975.6193,32017.71918695089,27.562641,4.16768,3.264,0.6296509904041,1502,19.053158,192.52142428843217,62692.94845714064,0.22231743,6.373119999999899,14433.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_15,H0,0FT,True,0,False,0.64635736175,True,VALID,False,0.01598592,,,,,,,,,,,,,,,,42.714428429924205,1917.9563712225865,22.42467728727932,1670.828940660509,47.52364260151235,0.9823221567871345,365.8016346060249,17.59638277195857,1.61536,1.23648,74.5084943365524,0.04717730631762072,1.4230881766016605,5482274.133851389,31984.663620669842,29.535827239594305,5.9712000000000005,4.35584,0.20051692813657648,14,17.288533797535706,53.27653029137946,32015.491095663383,0.0002804987329360354,8.979200000000077,3515.7846688445775,53.014923,273.27762,7.109363,3116.4116,80.34611,0.8795925409164247,427.50098,18.676765,5.65632,0.23168,438.35315,0.01495797,1.8551937,1280.1676,37883.066145614306,41.596977,5.803520000000001,0.1472,0.37528222502654296,1693,30.100687,22479.73597572295,74817.49840252366,0.31193325,9.902080000000035,3878.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_16,H0,0FT,True,0,True,1.7889903217499998,True,VALID,True,0.01148544,,,,,,,,,,,,,,,,34.09420352386442,1972.967464798352,158.28229399228113,8038.754965912831,94.32142005573813,0.9789455326328034,261.50076710199903,15.637377346559164,10.04544,2.53824,50.78745552101377,0.02359231131365814,1.738815730156237,5075789.008922576,31895.491853309522,37.29444381807007,10.4704,0.42496,0.06428539836217328,31,27.69451384058523,201.23338708712618,32049.245501500147,0.00026401230959349905,29.80095999999999,8522.724701517778,44.26879,303.00217,91.08954,4346.992,47.00455,0.8775514900151792,290.82434,16.2313,1.9699200000000001,0.4608,47.72219,0.07731964,2.35183,1539.7994,31895.491853309522,29.642582,6.17088,4.20096,0.07882201861461899,3066,17.023676,22608.23723978139,65220.76987920668,0.23932442,9.314559999999972,9248.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_17,H0,0FT,True,0,True,0.94679640175,True,VALID,True,0.01174016,,,,,,,,,,,,,,,,32.32840182820527,2800.6594646432086,180.88811451202818,6427.559169652525,45.39906826967949,0.9922878598505155,281.1707874363325,16.285697737420683,6.091519999999999,3.7888,35.53334162929226,0.09925746947721718,2.125042342549399,6551502.391046482,32149.1794408222,26.542287803915947,9.84576,3.75424,0.055940236395630574,28,14.510349391354652,314.248346185821,32057.872053026167,0.00016990922213186319,23.550719999999913,14157.909874871222,31.557669,306.09662,227.84776,10306.904,69.687416,0.9388211093770011,282.6324,16.333336,7.49056,3.85408,45.235924,0.07427449,2.1201944,1669.164,32149.1794408222,29.108679,9.9136,2.42304,0.06130177538081626,5220,19.054329,314.248346185821,61405.45164698856,0.21521993,24.98047999999997,14790.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
