PATH,TRUTH,PREDICTED,H0 TOA,H1 TOA,H2 TOA,H3 TOA,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY
0_epoch_052_2026-02-07--15-29-43.bin,0,0,0.35663744000000003,0.35667584,0.35667072,0.356672,True,True,True,True
0_epoch_053_2026-02-07--15-29-50.bin,0,3,1.80644096,1.80644096,1.8064704,1.8064384,True,True,True,True
0_epoch_054_2026-02-07--15-29-56.bin,0,0,1.2063808,1.20643456,1.2064409600000001,1.2064384000000001,True,True,True,True
0_epoch_055_2026-02-07--15-30-03.bin,0,1,0.60723328,0.60722176,0.60725632,0.60722176,True,True,True,True
0_epoch_056_2026-02-07--15-30-10.bin,0,0,0.0064230400000000005,0.00645888,0.00644352,0.00644736,True,True,True,True
0_epoch_057_2026-02-07--15-30-16.bin,0,0,1.454272,1.45430528,1.4542886400000001,1.45429248,True,True,True,True
0_epoch_058_2026-02-07--15-30-23.bin,0,0,0.85232,0.85233792,0.85233152,0.8523417600000001,True,True,True,True
0_epoch_059_2026-02-07--15-30-30.bin,0,0,0.251776,0.25179008,0.25177728,0.25178112,True,True,True,True
0_epoch_060_2026-02-07--15-30-37.bin,0,0,1.7007564800000001,1.70078592,1.70076416,1.7007744,True,True,True,True
0_epoch_061_2026-02-07--15-30-43.bin,0,0,1.0999564800000001,1.09997952,1.0999744,1.09997952,True,True,True,True
0_epoch_062_2026-02-07--15-30-50.bin,0,1,0.50250624,0.50249088,0.5025472,0.50253312,True,True,True,True
0_epoch_063_2026-02-07--15-30-57.bin,0,0,1.9526054400000001,1.95261184,1.95262336,1.9526144,True,True,True,True
0_epoch_064_2026-02-07--15-31-04.bin,0,0,1.35187584,1.35189888,1.35189376,1.35190272,True,True,True,True
0_epoch_065_2026-02-07--15-31-10.bin,0,0,0.7527001600000001,0.75272832,0.75272448,0.7527372800000001,True,True,True,True
0_epoch_066_2026-02-07--15-31-17.bin,0,0,0.15080704,0.15082624,0.15083776000000002,0.15083008,True,True,True,True
0_epoch_067_2026-02-07--15-31-24.bin,0,0,1.60016256,1.60020352,1.60019328,1.60020224,True,True,True,True
0_epoch_068_2026-02-07--15-31-31.bin,0,0,1.00317568,1.00320384,1.00322048,1.0031948800000001,True,True,True,True
0_epoch_069_2026-02-07--15-31-37.bin,0,0,0.40340992000000003,0.403424,0.40345344,0.40342272,True,True,True,True
0_epoch_070_2026-02-07--15-31-44.bin,0,0,1.85347072,1.8534976,1.85349632,1.85349376,True,True,True,True
0_epoch_071_2026-02-07--15-31-51.bin,0,0,1.25153664,1.25155968,1.25156224,1.2515712,True,True,True,True
0_epoch_072_2026-02-07--15-31-58.bin,0,3,0.65111936,0.65111168,0.65113984,0.65110784,True,True,True,True
0_epoch_073_2026-02-07--15-32-04.bin,0,0,0.0533312,0.0533504,0.05334784,0.053367040000000004,True,True,True,True
0_epoch_074_2026-02-07--15-32-11.bin,0,0,1.50253696,1.50254592,1.50256256,1.50256256,True,True,True,True
0_epoch_075_2026-02-07--15-32-18.bin,0,0,0.90385024,0.9038809600000001,0.9038822400000001,0.90388736,True,True,True,True
0_epoch_076_2026-02-07--15-32-25.bin,0,0,0.30255232,0.30255360000000003,0.30257792,0.30256512,True,True,True,True
0_epoch_077_2026-02-07--15-32-31.bin,0,0,1.7528384000000001,1.75286528,1.75288448,1.7528742400000001,True,True,True,True
0_epoch_078_2026-02-07--15-32-38.bin,0,0,1.1542080000000001,1.15425152,1.15424256,1.15425664,True,True,True,True
0_epoch_079_2026-02-07--15-32-45.bin,0,0,0.5566976,0.55672064,0.55671552,0.55671424,True,True,True,True
0_epoch_080_2026-02-07--15-32-52.bin,0,1,2.00659712,2.00659328,2.00661632,2.00660736,True,True,True,True
0_epoch_081_2026-02-07--15-32-58.bin,0,0,1.40625408,1.40627712,1.40628608,1.4062784,True,True,True,True
