PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 RAW_spectral_flatness,H0 FILTERED_spectral_centroid_hz,H0 FILTERED_time_to_secondary_peak_ms,H0 RAW_rise_time_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms
H0_5ft_t1_epoch_0,H0,5FT,True,0,True,0.6172591217500001,True,VALID,True,0.935,0.24883763,32018.965298090818,6.600960000000001,4.29952,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_1,H0,5FT,False,0,False,1.97803736175,False,TOO_LATE,False,0.66,0.23783574,31990.244720769006,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_10,H0,5FT,True,0,True,1.75086808175,True,VALID,True,0.98,0.22695966,31980.390653351984,2.0198400000000003,1.23264,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_11,H0,5FT,True,0,True,1.13493080175,True,VALID,True,0.9,0.23376821,31913.343622826796,5.890560000000001,3.42272,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_12,H0,5FT,True,0,True,0.47271640175,True,VALID,True,0.71,0.23683037,31991.813201696015,7.46496,4.40704,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_13,H0,5FT,True,0,True,1.8549436017499998,True,VALID,True,0.99,0.24583311,31979.4533258843,1.7254399999999999,1.05216,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_14,H0,5FT,True,0,True,1.0593429617499999,True,VALID,True,0.98,0.22258173,32021.818315753262,7.46368,4.40704,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_15,H0,5FT,True,0,True,0.37207640175,True,VALID,True,1.0,0.27686337,32070.203200291733,6.8096,4.2828800000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_16,H0,5FT,True,0,True,1.79061208175,True,VALID,True,0.99,0.21583316,32068.710184041283,6.67392,4.40576,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_17,H0,5FT,True,0,True,1.06371160175,True,VALID,True,0.95,0.25317368,31933.184694959855,5.1648,3.2844800000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_18,H0,5FT,True,0,True,0.50337880175,True,VALID,True,0.87,0.2512762,31967.374973281654,2.8147200000000003,1.6448,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_5ft_t1_epoch_19,H0,5FT,True,0,True,1.96388056175,True,VALID,True,0.94,0.24354438,32038.946330238425,6.96832,4.57984,,,,,,,,,,,,,,,,,,,,,,,,,,,
