PATH,TRUTH,PREDICTED,H0 TOA,H1 TOA,H2 TOA,H3 TOA,ALL_VALID,H0 VALID,H1 VALID,H2 VALID,H3 VALID,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY
0_logic1_hydrophone_0_closest_epoch_001_2026-02-15--15-52-54.bin,0,0,0.5505011200000001,,0.55045248,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_002_2026-02-15--15-52-58.bin,0,0,0.41276928,,0.41275776000000003,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_003_2026-02-15--15-53-03.bin,0,0,1.5708672000000001,,1.5708544,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_004_2026-02-15--15-53-10.bin,0,0,1.48313344,,1.48309504,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_005_2026-02-15--15-53-16.bin,0,0,0.89622656,,0.8962112,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_006_2026-02-15--15-53-23.bin,0,0,0.056436480000000004,,0.05641984,,False,False,,False,,True,,True,
0_logic1_hydrophone_0_closest_epoch_007_2026-02-15--15-53-29.bin,0,2,0.46805248,,0.46806272,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_008_2026-02-15--15-53-35.bin,0,0,0.88050816,,0.8804736,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_009_2026-02-15--15-53-41.bin,0,0,1.0422976,,1.04226048,,True,True,,True,,True,,True,
0_logic1_hydrophone_0_closest_epoch_010_2026-02-15--15-53-46.bin,0,2,0.15490944,,0.154912,,True,True,,True,,True,,True,
2_logic1_hydrophone_2_closest_epoch_001_2026-02-15--15-55-42.bin,2,2,0.23344384,,0.23350912000000001,,True,True,,True,,False,,True,
2_logic1_hydrophone_2_closest_epoch_002_2026-02-15--15-55-48.bin,2,0,0.39545344,,0.39517696,,True,True,,True,,False,,True,
2_logic1_hydrophone_2_closest_epoch_003_2026-02-15--15-55-54.bin,2,2,0.5554496,,0.5555392,,True,True,,True,,False,,True,
