PATH,TRUTH,DISTANCE_TRUTH,PREDICTED,DETECTED_NEARBY,H0 TOA,H1 TOA,H2 TOA,H3 TOA,ALL_VALID,H0 VALID,H1 VALID,H2 VALID,H3 VALID,H0 REASON,H1 REASON,H2 REASON,H3 REASON,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY,H0 NEARBY_VALID,H1 NEARBY_VALID,H2 NEARBY_VALID,H3 NEARBY_VALID,H0 DELTA_T,H1 DELTA_T,H2 DELTA_T,H3 DELTA_T
H0_Closest_0FT_epoch_0,,0FT,0,False,1.97142744175,,,,False,False,,,,TOO_LATE,,,,True,,,,False,,,,0.01164288,,,
H0_Closest_0FT_epoch_1,,0FT,0,False,1.0336559217499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01169536,,,
H0_Closest_0FT_epoch_2,,0FT,0,False,0.10498264175000001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01422592,,,
H0_Closest_0FT_epoch_3,,0FT,0,False,1.26848344175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01426432,,,
H0_Closest_0FT_epoch_4,,0FT,0,False,0.25581272175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01230592,,,
H0_Closest_0FT_epoch_5,,0FT,0,False,1.39312344175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01334144,,,
H0_Closest_0FT_epoch_6,,0FT,0,False,0.5809775217500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01035264,,,
H0_Closest_0FT_epoch_7,,0FT,0,False,1.59167320175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.0156416,,,
H0_Closest_0FT_epoch_8,,0FT,0,False,0.84214488175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01174912,,,
H0_Closest_0FT_epoch_9,,0FT,0,False,1.86740696175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01162624,,,
H0_Closest_0FT_epoch_10,,0FT,0,False,1.00379608175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01303424,,,
H0_Closest_0FT_epoch_11,,0FT,0,False,0.15111128175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01168384,,,
H0_Closest_0FT_epoch_12,,0FT,0,False,1.26870104175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01237248,,,
H0_Closest_0FT_epoch_13,,0FT,0,False,0.33941848175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01407744,,,
H0_Closest_0FT_epoch_14,,0FT,0,False,1.5445013617499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.010272,,,
H0_Closest_0FT_epoch_15,,0FT,0,False,0.64635736175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.01598592,,,
H0_Closest_0FT_epoch_16,,0FT,0,False,1.7889903217499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01148544,,,
H0_Closest_0FT_epoch_17,,0FT,0,False,0.94679640175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01174016,,,
H0_Closest_0FT_epoch_18,,0FT,0,False,0.11655640175000001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01394048,,,
H0_Closest_0FT_epoch_19,,0FT,0,False,1.28728408175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01344896,,,
H0_Closest_0FT_epoch_20,,0FT,0,False,0.51252440175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01031424,,,
H0_Closest_0FT_epoch_21,,0FT,0,False,1.68543704175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0133056,,,
H0_Closest_0FT_epoch_22,,0FT,0,False,0.88400216175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0143424,,,
H0_Closest_0FT_epoch_23,,0FT,0,False,0.04906712175,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.0119616,,,
H0_Closest_0FT_epoch_24,,0FT,0,False,1.28287960175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01086848,,,
H0_Closest_0FT_epoch_25,,0FT,0,False,0.46563800175000003,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03109632,,,
H0_Closest_0FT_epoch_26,,0FT,0,False,1.6436207217499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0126592,,,
H0_Closest_0FT_epoch_27,,0FT,0,False,0.83285976175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.01507072,,,
H0_Closest_0FT_epoch_28,,0FT,0,False,1.9131541617499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01212416,,,
H0_Closest_0FT_epoch_29,,0FT,0,False,1.05645528175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.00961024,,,
H0_Closest_0FT_epoch_30,,0FT,0,False,0.056791921749999995,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01309184,,,
H0_Closest_0FT_epoch_31,,0FT,0,False,1.2945608817499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01028096,,,
H0_Closest_0FT_epoch_32,,0FT,0,False,0.30925272175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01325056,,,
H0_Closest_0FT_epoch_33,,0FT,0,False,1.44421336175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01176192,,,
H0_Closest_0FT_epoch_34,,0FT,0,False,0.66512728175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0125696,,,
H0_Closest_0FT_epoch_35,,0FT,0,False,1.78511064175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.00953728,,,
H0_Closest_0FT_epoch_36,,0FT,0,False,0.9594620017500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01462144,,,
H0_Closest_0FT_epoch_37,,0FT,0,False,0.011943281750000001,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01039872,,,
H0_Closest_0FT_epoch_38,,0FT,0,False,1.20707672175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03081216,,,
H0_Closest_0FT_epoch_39,,0FT,0,False,0.31966168175000004,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01333504,,,
H0_Closest_0FT_epoch_40,,0FT,0,False,1.4645615217499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.00897664,,,
H0_Closest_0FT_epoch_41,,0FT,0,False,0.64097624175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.030752,,,
H0_Closest_0FT_epoch_42,,0FT,0,False,1.74402392175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01465728,,,
H0_Closest_0FT_epoch_43,,0FT,0,False,0.97496920175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.010912,,,
H0_Closest_0FT_epoch_44,,0FT,0,False,0.02395352175,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,0.01472128,,,
H0_Closest_0FT_epoch_45,,0FT,0,False,1.26462040175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01197312,,,
H0_Closest_0FT_epoch_46,,0FT,0,False,0.40836824175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01256192,,,
H0_Closest_0FT_epoch_47,,0FT,0,False,1.54355160175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.011808,,,
H0_Closest_0FT_epoch_48,,0FT,0,False,0.79621848175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01309824,,,
H0_Closest_0FT_epoch_49,,0FT,0,False,1.90652760175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01318528,,,
H0_Closest_0FT_epoch_50,,0FT,0,False,1.12487000175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0129344,,,
H0_Closest_0FT_epoch_51,,0FT,0,False,0.14857688175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01275776,,,
H0_Closest_0FT_epoch_52,,0FT,0,False,1.31430744175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01031936,,,
H0_Closest_0FT_epoch_53,,0FT,0,False,0.39671384175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01382144,,,
H0_Closest_0FT_epoch_54,,0FT,0,False,1.63916376175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01225088,,,
H0_Closest_0FT_epoch_55,,0FT,0,False,0.81732056175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01273472,,,
H0_Closest_0FT_epoch_56,,0FT,0,False,0.03310680175,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01350656,,,
H0_Closest_0FT_epoch_57,,0FT,0,False,1.21425368175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01153792,,,
H0_Closest_0FT_epoch_58,,0FT,0,False,0.25263064175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01343104,,,
H0_Closest_0FT_epoch_59,,0FT,0,False,1.51318616175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01259648,,,
H0_Closest_0FT_epoch_60,,0FT,0,False,0.6566332017500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01243904,,,
H0_Closest_0FT_epoch_61,,0FT,0,False,1.84844760175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01444608,,,
H0_Closest_0FT_epoch_62,,0FT,0,False,1.07917016175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01205888,,,
H0_Closest_0FT_epoch_63,,0FT,0,False,0.25083608175000005,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0130816,,,
H0_Closest_0FT_epoch_64,,0FT,0,False,1.48282328175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01313792,,,
H0_Closest_0FT_epoch_65,,0FT,0,False,0.68924120175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01042688,,,
H0_Closest_0FT_epoch_66,,0FT,0,False,1.97643864175,,,,False,False,,,,TOO_LATE,,,,True,,,,False,,,,0.01170944,,,
H0_Closest_0FT_epoch_67,,0FT,0,False,1.16274136175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03439616,,,
H0_Closest_0FT_epoch_68,,0FT,0,False,0.37853400175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0125248,,,
H0_Closest_0FT_epoch_69,,0FT,0,False,1.60770904175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01255936,,,
H0_Closest_0FT_epoch_70,,0FT,0,False,0.40612056175000005,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01375488,,,
H0_Closest_0FT_epoch_71,,0FT,0,False,1.5402018417499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.00932736,,,
H0_Closest_0FT_epoch_72,,0FT,0,False,0.58446552175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.013728,,,
H0_Closest_0FT_epoch_73,,0FT,0,False,1.8193045617499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01247104,,,
H0_Closest_0FT_epoch_74,,0FT,0,False,1.0167983217499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01364352,,,
H0_Closest_0FT_epoch_75,,0FT,0,False,0.18951256175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03207168,,,
H0_Closest_0FT_epoch_76,,0FT,0,False,1.56318552175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01041536,,,
H0_Closest_0FT_epoch_77,,0FT,0,False,0.73280728175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.0282112,,,
H0_Closest_0FT_epoch_78,,0FT,0,False,1.83933656175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03488896,,,
H0_Closest_0FT_epoch_79,,0FT,0,False,0.92102232175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01407488,,,
H0_Closest_0FT_epoch_80,,0FT,0,False,0.43535320175000003,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.01484288,,,
H0_Closest_0FT_epoch_81,,0FT,0,False,1.61802712175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01120384,,,
H0_Closest_0FT_epoch_82,,0FT,0,False,0.7660514417500001,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.02904064,,,
H0_Closest_0FT_epoch_83,,0FT,0,False,2.0277000817500004,,,,False,False,,,,TOO_LATE,,,,False,,,,False,,,,2.04781312,,,
H0_Closest_0FT_epoch_84,,0FT,0,False,1.27648728175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03238784,,,
H0_Closest_0FT_epoch_85,,0FT,0,False,0.37114328175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03446272,,,
H0_Closest_0FT_epoch_86,,0FT,0,False,1.42144856175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01020032,,,
H0_Closest_0FT_epoch_87,,0FT,0,False,0.8585468017500001,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.02950016,,,
H0_Closest_0FT_epoch_88,,0FT,0,False,0.037896561749999995,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,2.05709824,,,
H0_Closest_0FT_epoch_89,,0FT,0,False,1.23571416175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03521664,,,
H0_Closest_0FT_epoch_90,,0FT,0,False,0.34636888175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01280128,,,
H0_Closest_0FT_epoch_91,,0FT,0,False,1.58057432175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.03061888,,,
H0_Closest_0FT_epoch_92,,0FT,0,False,0.80382296175,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.02848256,,,
H0_Closest_0FT_epoch_93,,0FT,0,False,0.06748888175000001,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,0.0318976,,,
H0_Closest_0FT_epoch_94,,0FT,0,False,1.36531800175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01181056,,,
H0_Closest_0FT_epoch_95,,0FT,0,False,0.5475503217500001,,,,True,True,,,,VALID,,,,False,,,,False,,,,0.015584,,,
H0_Closest_0FT_epoch_96,,0FT,0,False,1.7634095217499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01256064,,,
H0_Closest_0FT_epoch_97,,0FT,0,False,0.88789464175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.012992,,,
H0_Closest_0FT_epoch_98,,0FT,0,False,0.031515761749999996,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,2.0581696,,,
