PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 PING_WIDTH,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 PING_WIDTH,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 PING_WIDTH,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 PING_WIDTH
H0_Closest_0FT_epoch_0,H0,0FT,False,0,True,1.97142744175,False,TOO_LATE,True,0.01164288,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_1,H0,0FT,True,0,True,1.0336559217499999,True,VALID,True,0.01169536,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_10,H0,0FT,True,0,True,1.00379608175,True,VALID,True,0.01303424,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_11,H0,0FT,True,0,True,0.15111128175,True,VALID,True,0.01168384,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_12,H0,0FT,True,0,True,1.26870104175,True,VALID,True,0.01237248,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_13,H0,0FT,True,0,True,0.33941848175,True,VALID,True,0.01407744,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_14,H0,0FT,True,0,True,1.5445013617499999,True,VALID,True,0.010272,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_15,H0,0FT,True,0,False,0.64635736175,True,VALID,False,0.01598592,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_16,H0,0FT,True,0,True,1.7889903217499998,True,VALID,True,0.01148544,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_17,H0,0FT,True,0,True,0.94679640175,True,VALID,True,0.01174016,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_18,H0,0FT,True,0,True,0.11655640175000001,True,VALID,True,0.01394048,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_19,H0,0FT,True,0,True,1.28728408175,True,VALID,True,0.01344896,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_2,H0,0FT,True,0,True,0.10498264175000001,True,VALID,True,0.01422592,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_20,H0,0FT,True,0,True,0.51252440175,True,VALID,True,0.01031424,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_21,H0,0FT,True,0,True,1.68543704175,True,VALID,True,0.0133056,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_22,H0,0FT,True,0,True,0.88400216175,True,VALID,True,0.0143424,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_23,H0,0FT,False,0,True,0.04906712175,False,TOO_EARLY,True,0.0119616,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_24,H0,0FT,True,0,True,1.28287960175,True,VALID,True,0.01086848,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_25,H0,0FT,True,0,False,0.46563800175000003,True,VALID,False,0.03109632,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_26,H0,0FT,True,0,True,1.6436207217499998,True,VALID,True,0.0126592,,,,,,,,,,,,,,,
