PATH,TRUTH,PREDICTED,H0 TOA,H1 TOA,H2 TOA,H3 TOA,ALL_VALID,H0 VALID,H1 VALID,H2 VALID,H3 VALID,H0 REASON,H1 REASON,H2 REASON,H3 REASON,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY,H0 NEARBY_VALID,H1 NEARBY_VALID,H2 NEARBY_VALID,H3 NEARBY_VALID,H0 DELTA_T,H1 DELTA_T,H2 DELTA_T,H3 DELTA_T
H0_Closest_10FT_epoch_78,,0,1.0701845617499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01502336,,,
H0_Closest_10FT_epoch_79,,0,0.21800024175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01322368,,,
H0_Closest_10FT_epoch_80,,0,1.33641560175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01319168,,,
H0_Closest_10FT_epoch_81,,0,0.57038680175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01407872,,,
H0_Closest_10FT_epoch_82,,0,1.67131352175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01293312,,,
H0_Closest_10FT_epoch_83,,0,0.63943768175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01413376,,,
H0_Closest_10FT_epoch_84,,0,1.85031384175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01341952,,,
H0_Closest_10FT_epoch_85,,0,1.03028056175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01027584,,,
H0_Closest_10FT_epoch_86,,0,7.512174999999999e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,0.24788608,,,
H0_Closest_10FT_epoch_87,,0,7.512174999999999e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,1.521632,,,
H0_Closest_10FT_epoch_88,,0,0.67260888175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01382528,,,
H0_Closest_10FT_epoch_89,,0,1.83697496175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01224192,,,
H0_Closest_10FT_epoch_90,,0,0.9095637617500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01331456,,,
H0_Closest_10FT_epoch_91,,0,0.01756888175,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01549696,,,
H0_Closest_10FT_epoch_92,,0,1.2576930417499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0136256,,,
H0_Closest_10FT_epoch_93,,0,0.43724888175000004,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01025536,,,
H0_Closest_10FT_epoch_94,,0,1.6423816817499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01058048,,,
H0_Closest_10FT_epoch_95,,0,0.70355032175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01316992,,,
H0_Closest_10FT_epoch_96,,0,1.9356232817499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0140096,,,
H0_Closest_10FT_epoch_97,,0,1.01827032175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0131072,,,
H0_Closest_10FT_epoch_98,,0,0.11351256175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01163648,,,
H0_Closest_10FT_epoch_99,,0,1.3458556017499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0127808,,,
H0_Closest_20FT_epoch_0,,0,1.24809816175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01070848,,,
H0_Closest_20FT_epoch_1,,0,1.62570200175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0306752,,,
H0_Closest_20FT_epoch_2,,0,0.7846332017500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02865152,,,
H0_Closest_20FT_epoch_3,,0,1.79756504175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02750848,,,
H0_Closest_20FT_epoch_4,,0,0.7144367217500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01092992,,,
H0_Closest_20FT_epoch_5,,0,1.95463512175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02557056,,,
H0_Closest_20FT_epoch_6,,0,0.8790037617500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02323456,,,
H0_Closest_20FT_epoch_7,,0,7.512174999999999e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,2.02715776,,,
H0_Closest_20FT_epoch_8,,0,1.2506952817499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02315008,,,
H0_Closest_20FT_epoch_9,,0,0.19427416175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0184512,,,
H0_Closest_20FT_epoch_10,,0,1.00506712175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0142208,,,
H0_Closest_20FT_epoch_11,,0,0.07462616175,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.02577664,,,
H0_Closest_20FT_epoch_12,,0,1.1198421617499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01756544,,,
H0_Closest_20FT_epoch_13,,0,0.23319128175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03033728,,,
H0_Closest_20FT_epoch_14,,0,1.50966872175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.00864128,,,
H0_Closest_20FT_epoch_15,,0,0.43295576175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01142656,,,
H0_Closest_20FT_epoch_16,,0,1.68152536175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01555584,,,
H0_Closest_20FT_epoch_17,,0,0.7607215217500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0255296,,,
H0_Closest_20FT_epoch_18,,0,7.512175000000001e-05,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.00596608,,,
H0_Closest_20FT_epoch_19,,0,1.16047448175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0248576,,,
H0_Closest_20FT_epoch_20,,0,0.36929368175000005,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01179776,,,
H0_Closest_20FT_epoch_21,,0,1.5833493617499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01228288,,,
H0_Closest_20FT_epoch_22,,0,0.7639381617500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02233472,,,
H0_Closest_20FT_epoch_23,,0,1.93377496175,,,,False,False,,,,TOO_LATE,,,,True,,,,False,,,,0.01145856,,,
H0_Closest_20FT_epoch_24,,0,1.20122840175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0156416,,,
H0_Closest_20FT_epoch_25,,0,0.33081560175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01256704,,,
H0_Closest_20FT_epoch_26,,0,1.3832469617499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02598272,,,
