PATH,TRUTH,PREDICTED,H0 TOA,H1 TOA,H2 TOA,H3 TOA,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY
0_2026-02-07--15-24-04\0_epoch_050_2026-02-07--15-29-29.bin,0,0,1.5565248,,1.55656704,,True,,True,
0_2026-02-07--15-24-04\0_epoch_051_2026-02-07--15-29-36.bin,0,0,0.95490176,,0.95492864,,True,,True,
0_2026-02-07--15-24-04\0_epoch_052_2026-02-07--15-29-43.bin,0,0,0.35663744000000003,,0.35667072,,True,,True,
0_2026-02-07--15-24-04\0_epoch_053_2026-02-07--15-29-50.bin,0,0,1.80644096,,1.8064704,,True,,True,
0_2026-02-07--15-24-04\0_epoch_054_2026-02-07--15-29-56.bin,0,0,1.2063808,,1.2064409600000001,,True,,True,
0_2026-02-07--15-24-04\0_epoch_055_2026-02-07--15-30-03.bin,0,0,0.60723328,,0.60725632,,True,,True,
0_2026-02-07--15-24-04\0_epoch_056_2026-02-07--15-30-10.bin,0,0,0.0064230400000000005,,0.00644352,,True,,True,
0_2026-02-07--15-24-04\0_epoch_057_2026-02-07--15-30-16.bin,0,0,1.454272,,1.4542886400000001,,True,,True,
0_2026-02-07--15-24-04\0_epoch_058_2026-02-07--15-30-23.bin,0,0,0.85232,,0.85233152,,True,,True,
0_2026-02-07--15-24-04\0_epoch_059_2026-02-07--15-30-30.bin,0,0,0.251776,,0.25177728,,True,,True,
0_2026-02-07--15-24-04\0_epoch_060_2026-02-07--15-30-37.bin,0,0,1.7007564800000001,,1.70076416,,True,,True,
0_2026-02-07--15-24-04\0_epoch_061_2026-02-07--15-30-43.bin,0,0,1.0999564800000001,,1.0999744,,True,,True,
0_2026-02-07--15-24-04\0_epoch_062_2026-02-07--15-30-50.bin,0,0,0.50250624,,0.5025472,,True,,True,
0_2026-02-07--15-24-04\0_epoch_063_2026-02-07--15-30-57.bin,0,0,1.9526054400000001,,1.95262336,,True,,True,
0_2026-02-07--15-24-04\0_epoch_064_2026-02-07--15-31-04.bin,0,0,1.35187584,,1.35189376,,True,,True,
0_2026-02-07--15-24-04\0_epoch_065_2026-02-07--15-31-10.bin,0,0,0.7527001600000001,,0.75272448,,True,,True,
0_2026-02-07--15-24-04\0_epoch_066_2026-02-07--15-31-17.bin,0,0,0.15080704,,0.15083776000000002,,True,,True,
0_2026-02-07--15-24-04\0_epoch_067_2026-02-07--15-31-24.bin,0,0,1.60016256,,1.60019328,,True,,True,
0_2026-02-07--15-24-04\0_epoch_068_2026-02-07--15-31-31.bin,0,0,1.00317568,,1.00322048,,True,,True,
0_2026-02-07--15-24-04\0_epoch_069_2026-02-07--15-31-37.bin,0,0,0.40340992000000003,,0.40345344,,True,,True,
0_2026-02-07--15-24-04\0_epoch_070_2026-02-07--15-31-44.bin,0,0,1.85347072,,1.85349632,,True,,True,
0_2026-02-07--15-24-04\0_epoch_071_2026-02-07--15-31-51.bin,0,0,1.25153664,,1.25156224,,True,,True,
0_2026-02-07--15-24-04\0_epoch_072_2026-02-07--15-31-58.bin,0,0,0.65111936,,0.65113984,,True,,True,
0_2026-02-07--15-24-04\0_epoch_073_2026-02-07--15-32-04.bin,0,0,0.0533312,,0.05334784,,True,,True,
0_2026-02-07--15-24-04\0_epoch_074_2026-02-07--15-32-11.bin,0,0,1.50253696,,1.50256256,,True,,True,
0_2026-02-07--15-24-04\0_epoch_075_2026-02-07--15-32-18.bin,0,0,0.90385024,,0.9038822400000001,,True,,True,
0_2026-02-07--15-24-04\0_epoch_076_2026-02-07--15-32-25.bin,0,0,0.30255232,,0.30257792,,True,,True,
0_2026-02-07--15-24-04\0_epoch_077_2026-02-07--15-32-31.bin,0,0,1.7528384000000001,,1.75288448,,True,,True,
0_2026-02-07--15-24-04\0_epoch_078_2026-02-07--15-32-38.bin,0,0,1.1542080000000001,,1.15424256,,True,,True,
0_2026-02-07--15-24-04\0_epoch_079_2026-02-07--15-32-45.bin,0,0,0.5566976,,0.55671552,,True,,True,
0_2026-02-07--15-24-04\0_epoch_080_2026-02-07--15-32-52.bin,0,0,2.00659712,,2.00661632,,True,,True,
0_2026-02-07--15-24-04\0_epoch_081_2026-02-07--15-32-58.bin,0,0,1.40625408,,1.40628608,,True,,True,
0_2026-02-07--15-24-04\0_epoch_082_2026-02-07--15-33-05.bin,0,0,0.806976,,0.80702208,,True,,True,
0_2026-02-07--15-24-04\0_epoch_083_2026-02-07--15-33-12.bin,0,0,0.20959488,,0.20961152,,True,,True,
0_2026-02-07--15-24-04\0_epoch_084_2026-02-07--15-33-19.bin,0,0,1.6588428800000001,,1.65887232,,True,,True,
0_2026-02-07--15-24-04\0_epoch_085_2026-02-07--15-33-25.bin,0,0,1.06003328,,1.0600768,,True,,True,
0_2026-02-07--15-24-04\0_epoch_086_2026-02-07--15-33-32.bin,0,0,0.4582016,,0.45820928,,True,,True,
0_2026-02-07--15-24-04\0_epoch_087_2026-02-07--15-33-39.bin,0,0,1.9058688000000001,,1.9059059200000001,,True,,True,
0_2026-02-07--15-24-04\0_epoch_088_2026-02-07--15-33-46.bin,0,0,1.30700032,,1.30701952,,True,,True,
0_2026-02-07--15-24-04\0_epoch_089_2026-02-07--15-33-52.bin,0,0,0.7087168,,0.70874752,,True,,True,
0_2026-02-07--15-24-04\0_epoch_090_2026-02-07--15-33-59.bin,0,0,0.10780928000000001,,0.10782848,,True,,True,
0_2026-02-07--15-24-04\0_epoch_091_2026-02-07--15-34-06.bin,0,0,1.55312512,,1.55315328,,True,,True,
0_2026-02-07--15-24-04\0_epoch_092_2026-02-07--15-34-13.bin,0,0,0.95051136,,0.95053696,,True,,True,
0_2026-02-07--15-24-04\0_epoch_093_2026-02-07--15-34-19.bin,0,0,0.35475328,,0.35478912,,True,,True,
0_2026-02-07--15-24-04\0_epoch_094_2026-02-07--15-34-26.bin,0,0,1.80392064,,1.8039475200000001,,True,,True,
0_2026-02-07--15-24-04\0_epoch_095_2026-02-07--15-34-33.bin,0,0,1.20806272,,1.2081024,,True,,True,
0_2026-02-07--15-24-04\0_epoch_096_2026-02-07--15-34-40.bin,0,0,0.60734592,,0.6073664,,True,,True,
0_2026-02-07--15-24-04\0_epoch_097_2026-02-07--15-34-46.bin,0,0,0.0084672,,0.00850304,,True,,True,
0_2026-02-07--15-24-04\0_epoch_098_2026-02-07--15-34-53.bin,0,0,1.45708032,,1.45710976,,True,,True,
0_2026-02-07--15-24-04\0_epoch_099_2026-02-07--15-35-00.bin,0,0,0.85562112,,0.85566592,,True,,True,
0_2026-02-07--15-24-04\0_epoch_100_2026-02-07--15-35-07.bin,0,0,0.2579648,,0.25798656000000003,,True,,True,
2_2026-02-07--15-38-56\2_epoch_001_2026-02-07--15-38-56.bin,2,2,0.70627328,,0.70622976,,True,,True,
2_2026-02-07--15-38-56\2_epoch_002_2026-02-07--15-38-59.bin,2,2,0.81118592,,0.81117056,,True,,True,
2_2026-02-07--15-38-56\2_epoch_003_2026-02-07--15-39-04.bin,2,2,0.4183552,,0.41828736,,True,,True,
2_2026-02-07--15-38-56\2_epoch_004_2026-02-07--15-39-11.bin,2,2,1.87159936,,1.8715494400000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_005_2026-02-07--15-39-18.bin,2,2,1.2776896,,1.27763328,,True,,True,
2_2026-02-07--15-38-56\2_epoch_006_2026-02-07--15-39-24.bin,2,2,0.68046208,,0.6803891200000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_007_2026-02-07--15-39-31.bin,2,2,0.08433792,,0.08430976,,True,,True,
2_2026-02-07--15-38-56\2_epoch_008_2026-02-07--15-39-38.bin,2,2,1.53570304,,1.53567744,,True,,True,
2_2026-02-07--15-38-56\2_epoch_009_2026-02-07--15-39-44.bin,2,2,0.93642368,,0.93640192,,True,,True,
2_2026-02-07--15-38-56\2_epoch_010_2026-02-07--15-39-51.bin,2,2,0.33560832,,0.33555328,,True,,True,
2_2026-02-07--15-38-56\2_epoch_011_2026-02-07--15-39-58.bin,2,2,1.7836544,,1.78362368,,True,,True,
2_2026-02-07--15-38-56\2_epoch_012_2026-02-07--15-40-05.bin,2,2,1.1856192,,1.18555776,,True,,True,
2_2026-02-07--15-38-56\2_epoch_013_2026-02-07--15-40-11.bin,2,2,0.58548608,,0.58542976,,True,,True,
2_2026-02-07--15-38-56\2_epoch_014_2026-02-07--15-40-18.bin,2,0,0.00021376,,0.00024064,,False,,False,
2_2026-02-07--15-38-56\2_epoch_015_2026-02-07--15-40-25.bin,2,2,1.4377408,,1.437664,,True,,True,
2_2026-02-07--15-38-56\2_epoch_016_2026-02-07--15-40-32.bin,2,2,0.83985024,,0.8398169600000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_017_2026-02-07--15-40-38.bin,2,2,0.24227200000000002,,0.24221952,,True,,True,
2_2026-02-07--15-38-56\2_epoch_018_2026-02-07--15-40-45.bin,2,2,1.69045248,,1.69040384,,True,,True,
2_2026-02-07--15-38-56\2_epoch_019_2026-02-07--15-40-52.bin,2,2,1.09547264,,1.09542912,,True,,True,
2_2026-02-07--15-38-56\2_epoch_020_2026-02-07--15-40-59.bin,2,2,0.49474944,,0.49469056,,True,,True,
2_2026-02-07--15-38-56\2_epoch_021_2026-02-07--15-41-05.bin,2,2,1.9438182400000001,,1.94375936,,True,,True,
2_2026-02-07--15-38-56\2_epoch_022_2026-02-07--15-41-12.bin,2,2,1.3440678400000001,,1.3440294400000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_023_2026-02-07--15-41-19.bin,2,2,0.74476288,,0.74472832,,True,,True,
2_2026-02-07--15-38-56\2_epoch_024_2026-02-07--15-41-26.bin,2,2,0.14793856,,0.14789248,,True,,True,
2_2026-02-07--15-38-56\2_epoch_025_2026-02-07--15-41-32.bin,2,2,1.597184,,1.59711104,,True,,True,
2_2026-02-07--15-38-56\2_epoch_026_2026-02-07--15-41-39.bin,2,2,0.99981696,,0.9997465600000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_027_2026-02-07--15-41-46.bin,2,2,0.39944192,,0.39940224,,True,,True,
2_2026-02-07--15-38-56\2_epoch_028_2026-02-07--15-41-53.bin,2,2,1.84826496,,1.84822144,,True,,True,
2_2026-02-07--15-38-56\2_epoch_029_2026-02-07--15-41-59.bin,2,2,1.24912128,,1.2490624000000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_030_2026-02-07--15-42-06.bin,2,2,0.64932224,,0.6492825600000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_031_2026-02-07--15-42-13.bin,2,2,0.0529088,,0.05285504,,True,,True,
2_2026-02-07--15-38-56\2_epoch_032_2026-02-07--15-42-20.bin,2,2,1.5033433600000001,,1.503296,,True,,True,
2_2026-02-07--15-38-56\2_epoch_033_2026-02-07--15-42-26.bin,2,2,0.90816512,,0.90813568,,True,,True,
2_2026-02-07--15-38-56\2_epoch_034_2026-02-07--15-42-33.bin,2,2,0.20969728,,0.20965248,,True,,True,
2_2026-02-07--15-38-56\2_epoch_035_2026-02-07--15-42-38.bin,2,2,0.80055296,,0.80050432,,True,,True,
2_2026-02-07--15-38-56\2_epoch_036_2026-02-07--15-42-42.bin,2,2,0.88852224,,0.8884595200000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_037_2026-02-07--15-42-47.bin,2,2,0.48024832,,0.4801728,,True,,True,
2_2026-02-07--15-38-56\2_epoch_038_2026-02-07--15-42-54.bin,2,2,1.91577472,,1.9157068800000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_039_2026-02-07--15-43-00.bin,2,2,1.31092096,,1.31085824,,True,,True,
2_2026-02-07--15-38-56\2_epoch_040_2026-02-07--15-43-07.bin,2,2,0.71191936,,0.71185152,,True,,True,
2_2026-02-07--15-38-56\2_epoch_041_2026-02-07--15-43-14.bin,2,2,0.11323904,,0.11317248,,True,,True,
2_2026-02-07--15-38-56\2_epoch_042_2026-02-07--15-43-21.bin,2,2,1.5608704,,1.56081664,,True,,True,
2_2026-02-07--15-38-56\2_epoch_043_2026-02-07--15-43-27.bin,2,2,0.9598656,,0.9597772800000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_044_2026-02-07--15-43-34.bin,2,2,0.35890944,,0.35888128,,True,,True,
2_2026-02-07--15-38-56\2_epoch_045_2026-02-07--15-43-41.bin,2,2,1.80376576,,1.803744,,True,,True,
2_2026-02-07--15-38-56\2_epoch_046_2026-02-07--15-43-48.bin,2,2,1.1998963200000001,,1.1998579200000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_047_2026-02-07--15-43-54.bin,2,2,0.5974784,,0.59740928,,True,,True,
2_2026-02-07--15-38-56\2_epoch_048_2026-02-07--15-44-01.bin,2,0,0.00018304,,0.00019072000000000002,,False,,True,
2_2026-02-07--15-38-56\2_epoch_049_2026-02-07--15-44-08.bin,2,2,1.44247808,,1.44244352,,True,,True,
2_2026-02-07--15-38-56\2_epoch_050_2026-02-07--15-44-15.bin,2,2,0.84423552,,0.84421504,,True,,True,
2_2026-02-07--15-38-56\2_epoch_051_2026-02-07--15-44-21.bin,2,2,0.24342144000000002,,0.24334208000000002,,True,,True,
2_2026-02-07--15-38-56\2_epoch_052_2026-02-07--15-44-28.bin,2,2,1.69134208,,1.69128832,,True,,True,
2_2026-02-07--15-38-56\2_epoch_053_2026-02-07--15-44-35.bin,2,2,1.090432,,1.09039616,,True,,True,
2_2026-02-07--15-38-56\2_epoch_054_2026-02-07--15-44-42.bin,2,2,0.4907136,,0.49066112,,True,,True,
2_2026-02-07--15-38-56\2_epoch_055_2026-02-07--15-44-48.bin,2,2,1.9372006400000001,,1.93717248,,True,,True,
2_2026-02-07--15-38-56\2_epoch_056_2026-02-07--15-44-55.bin,2,2,1.33526912,,1.33522304,,True,,True,
2_2026-02-07--15-38-56\2_epoch_057_2026-02-07--15-45-02.bin,2,2,0.73534464,,0.7353139200000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_058_2026-02-07--15-45-09.bin,2,2,0.13495680000000002,,0.13489664,,True,,True,
2_2026-02-07--15-38-56\2_epoch_059_2026-02-07--15-45-15.bin,2,2,1.58455936,,1.5844774400000001,,True,,True,
2_2026-02-07--15-38-56\2_epoch_060_2026-02-07--15-45-22.bin,2,2,0.98721664,,0.98715904,,True,,True,
2_2026-02-07--15-38-56\2_epoch_061_2026-02-07--15-45-29.bin,2,2,0.38755584,,0.38750464,,True,,True,
2_2026-02-07--15-38-56\2_epoch_062_2026-02-07--15-45-36.bin,2,2,1.83405824,,1.83399168,,True,,True,
2_2026-02-07--15-38-56\2_epoch_063_2026-02-07--15-45-42.bin,2,2,1.23510656,,1.23506304,,True,,True,
2_2026-02-07--15-38-56\2_epoch_064_2026-02-07--15-45-49.bin,2,2,0.63619968,,0.63614592,,True,,True,
2_2026-02-07--15-38-56\2_epoch_065_2026-02-07--15-45-56.bin,2,2,0.035384320000000004,,0.03533568,,True,,True,
2_2026-02-07--15-38-56\2_epoch_066_2026-02-07--15-46-03.bin,2,2,1.48136192,,1.48130176,,True,,True,
2_2026-02-07--15-38-56\2_epoch_067_2026-02-07--15-46-09.bin,2,2,0.8793740800000001,,0.87929216,,True,,True,
2_2026-02-07--15-38-56\2_epoch_068_2026-02-07--15-46-16.bin,2,2,0.27980288000000003,,0.27973888,,True,,True,
2_2026-02-07--15-38-56\2_epoch_069_2026-02-07--15-46-23.bin,2,2,1.7280192,,1.72796544,,True,,True,
2_2026-02-07--15-38-56\2_epoch_070_2026-02-07--15-46-29.bin,2,2,1.12797824,,1.12793984,,True,,True,
2_2026-02-07--15-38-56\2_epoch_071_2026-02-07--15-46-36.bin,2,2,0.52691456,,0.52686848,,True,,True,
2_2026-02-07--15-38-56\2_epoch_072_2026-02-07--15-46-43.bin,2,2,1.9751872000000001,,1.9751424,,True,,True,
2_2026-02-07--15-38-56\2_epoch_073_2026-02-07--15-46-50.bin,2,2,1.3748544,,1.37480704,,True,,True,
2_2026-02-07--15-38-56\2_epoch_074_2026-02-07--15-46-56.bin,2,2,0.77708416,,0.77703424,,True,,True,
2_2026-02-07--15-38-56\2_epoch_075_2026-02-07--15-47-03.bin,2,2,0.17701888000000002,,0.17696128,,True,,True,
